Car Make,Column,Count,Mean,Median,Mode,Std,-3σ,+3σ
Mitsubishi,OMV_num,430,14520.967441860465,13704.5,13335.0,2804.1760248644655,6108.4393672670685,22933.495516453862
Mitsubishi,Power_num,429,76.55415454545455,79.0105,80.0107,13.817850144295072,35.100604112569336,118.00770497833977
Mitsubishi,Price_num,159,38246.10691823899,41888.0,43800.0,16258.622836097493,-10529.761590053487,87021.97542653147
Mitsubishi,Road Tax_num,430,779.9,807.0,506.0,290.29280572141823,-90.97841716425467,1650.7784171642547
Nissan,ARF_num,202,15731.678217821782,16439.0,16713.0,2961.0754786848056,6848.451781767364,24614.904653876198
Nissan,COE_num,192,37913.541666666664,33798.0,56001.0,16174.19701328115,-10609.049373176786,86436.1327065101
Nissan,Depreciation_num,21,6900.476190476191,6900.0,8710.0,1236.4241836460342,3191.2036395380883,10609.748741414292
Nissan,Engine Cap_num,202,1558.8366336633662,1598.0,1598.0,63.06395746303872,1369.64476127425,1748.0285060524825
Nissan,Mileage_num,62,6068596.193548387,6667064.3,7970015.3,5292269.57744079,-9808212.538773982,21945404.925870754
Nissan,No. of Owners_num,202,1.6782178217821782,1.0,1.0,0.9412708631896343,-1.1455947677867246,4.502030411351081
Nissan,OMV_num,202,16395.79702970297,16439.0,16713.0,1724.4898195415872,11222.32757107821,21569.266488327732
Nissan,Power_num,201,82.53231890547265,85.0113,85.0113,3.569283497992393,71.82446841149547,93.24016939944983
Nissan,Price_num,73,47557.17808219178,47888.0,47800.0,21309.500048454174,-16371.322063170745,111485.67822755431
Nissan,Road Tax_num,202,801.1584158415842,742.0,742.0,139.08415668315362,383.90594579212336,1218.410885891045
Perodua,ARF_num,2,5000.0,5000.0,5000.0,0.0,5000.0,5000.0
Perodua,COE_num,2,17614.5,17614.5,26309.0,12295.879818052876,-19273.139454158627,54502.13945415863
Perodua,Engine Cap_num,2,1329.0,1329.0,1329.0,0.0,1329.0,1329.0
Perodua,Mileage_num,2,1380317.8,1380317.8,40622.2,1894615.6869715608,-4303529.260914682,7064164.860914682
Perodua,No. of Owners_num,2,1.0,1.0,1.0,0.0,1.0,1.0
Perodua,OMV_num,2,12381.5,12381.5,12386.0,6.363961030678928,12362.408116907964,12400.591883092036
Perodua,Power_num,2,70.093,70.093,70.093,0.0,70.093,70.093
Perodua,Price_num,2,51150.0,51150.0,55800.0,6576.093065034892,31421.720804895325,70878.27919510467
Perodua,Road Tax_num,2,334.0,334.0,584.0,353.5533905932738,-726.6601717798212,1394.6601717798212
Peugeot,ARF_num,2,15765.0,15765.0,14366.0,1978.48477375996,9829.54567872012,21700.45432127988
Peugeot,COE_num,2,46714.5,46714.5,46651.0,89.80256121069154,46445.092316367925,46983.907683632075
Peugeot,Engine Cap_num,2,1560.0,1560.0,1560.0,0.0,1560.0,1560.0
Peugeot,Mileage_num,1,8800017.6,8800017.6,8800017.6,,,
Peugeot,No. of Owners_num,2,1.0,1.0,1.0,0.0,1.0,1.0
Peugeot,OMV_num,2,27689.0,27689.0,26690.0,1412.799348810722,23450.601953567835,31927.398046432165
Peugeot,Power_num,2,88.0118,88.0118,88.0118,0.0,88.0118,88.0118
Peugeot,Price_num,1,56800.0,56800.0,56800.0,,,
Peugeot,Road Tax_num,2,1144.0,1144.0,1144.0,0.0,1144.0,1144.0
Porsche,ARF_num,2,120873.0,120873.0,70100.0,71803.86520236915,-94538.59560710745,336284.59560710745
Porsche,COE_num,2,49149.0,49149.0,40790.0,11821.411167876702,13684.766496369892,84613.23350363011
Porsche,Depreciation_num,1,30530.0,30530.0,30530.0,,,
Porsche,Engine Cap_num,2,3299.5,3299.5,2995.0,430.62802974260745,2007.6159107721776,4591.384089227822
Porsche,No. of Owners_num,2,1.0,1.0,1.0,0.0,1.0,1.0
Porsche,OMV_num,2,82707.0,82707.0,54500.0,39890.721953857894,-36965.16586157368,202379.16586157368
Porsche,Power_num,2,284.5381,284.5381,260.0348,34.652899182896654,180.57940245131002,388.49679754869
Porsche,Price_num,1,293800.0,293800.0,293800.0,,,
Porsche,Road Tax_num,2,2855.0,2855.0,2380.0,671.7514421272201,839.7456736183397,4870.254326381661
