Unnamed: 0,Car Name,Price,Depreciation,Reg Date,Mileage,Road Tax,Dereg Value,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,COE,Car Make,Car Model Name,COE End Date (raw),COE End Date,Price_num,Depreciation_num,Mileage_num,Road Tax_num,OMV_num,ARF_num,Engine Cap_num,Power_num,No. of Owners_num,COE_num,Cluster
4429,Honda Civic 1.8A (COE till 04/2026),N.A,N.A,,N.A.,"$1,467 /yr",N.A.,"1,799 cc","1,219 kg",2006.0,Auto,"$21,107 ","$23,218 ",103.0 kW (138 bhp),1,"$47,450 ",Honda,Civic 1.8A,,2026-04-01,,,,1467.0,21107.0,23218.0,1799,103.0138,1.0,47450.0,
4430,Mitsubishi Attrage 1.2A,"$42,800 ",,,"53,000 km (11.8k /yr)",$506 /yr,,"1,193 cc",940 kg,2016.0,Auto,"$13,930 ","$5,000 ",57.0 kW (76 bhp),1,"$53,000 ",Mitsubishi,Attrage 1.2A,,,42800.0,,5300011.8,506.0,13930.0,5000.0,1193,57.076,1.0,53000.0,0.0
4431,Toyota Corolla Altis 1.6A (COE till 01/2022),N.A,N.A,,N.A.,"$1,039 /yr",N.A.,"1,598 cc","1,115 kg",2006.0,Auto,"$15,355 ","$16,891 ",81.0 kW (108 bhp),2,"$25,323 ",Toyota,Corolla Altis 1.6A,,2022-01-01,,,,1039.0,15355.0,16891.0,1598,81.0108,2.0,25323.0,
4432,Kia Cerato Forte 1.6A SX (COE till 05/2025),N.A,N.A,,N.A.,$812 /yr,N.A.,"1,591 cc","1,251 kg",2010.0,Auto,"$13,376 ","$13,376 ",92.7 kW (124 bhp),3,"$18,238 ",Kia,Cerato Forte 1.6A SX,,2025-05-01,,,,812.0,13376.0,13376.0,1591,92.7124,3.0,18238.0,
4433,Ford Focus Ghia 1.6A 4DR (COE till 01/2022),N.A,N.A,,N.A.,"$1,039 /yr",N.A.,"1,596 cc","1,317 kg",2006.0,Auto,"$18,655 ","$20,521 ",74.0 kW (99 bhp),4,"$25,323 ",Ford,Focus Ghia 1.6A 4DR,,2022-01-01,,,,1039.0,18655.0,20521.0,1596,74.099,4.0,25323.0,
4434,Toyota Corolla Axio 1.5A X (OPC),N.A,N.A,,N.A.,$182 /yr,N.A.,"1,496 cc","1,090 kg",2015.0,Auto,"$13,846 ","$8,846 ",80.0 kW (107 bhp),2,"$39,209 ",Toyota,Corolla Axio 1.5A X (OPC),,,,,,182.0,13846.0,8846.0,1496,80.0107,2.0,39209.0,
4435,Toyota Corolla Axio 1.5A X (New 5-yr COE),"$34,000 ","$6,800 /yr",,N.A.,$750 /yr,N.A.,"1,496 cc","1,130 kg",2009.0,Auto,"$15,574 ","$15,574 ",81.0 kW (108 bhp),6,N.A.,Toyota,Corolla Axio 1.5A X,,,34000.0,6800.0,,750.0,15574.0,15574.0,1496,81.0108,6.0,,
4436,Chevrolet Sonic 1.4A LTZ,N.A,N.A,,N.A.,$626 /yr,N.A.,"1,398 cc","1,220 kg",2015.0,Auto,"$13,581 ","$13,581 ",74.0 kW (99 bhp),1,"$56,001 ",Chevrolet,Sonic 1.4A LTZ,,,,,,626.0,13581.0,13581.0,1398,74.099,1.0,56001.0,
4437,Hyundai Avante 1.6A (COE till 10/2024),"$23,000 ","$6,260 /yr",,N.A.,$886 /yr,,"1,591 cc","1,264 kg",2009.0,Auto,"$10,572 ","$10,572 ",89.7 kW (120 bhp),2,"$15,287 ",Hyundai,Avante 1.6A,,2024-10-01,23000.0,6260.0,,886.0,10572.0,10572.0,1591,89.712,2.0,15287.0,
4439,Skoda Octavia 1.4A TSI Ambition,N.A,N.A,,N.A.,$624 /yr,N.A.,"1,395 cc","1,289 kg",2019.0,Auto,"$18,870 ","$18,870 ",110.0 kW (147 bhp),1,"$41,001 ",Skoda,Octavia 1.4A TSI Ambition,,,,,,624.0,18870.0,18870.0,1395,110.0147,1.0,41001.0,
4440,Honda Civic 1.8A VTi-S (COE till 10/2028),N.A,N.A,,N.A.,"$1,271 /yr",N.A.,"1,799 cc","1,219 kg",2008.0,Auto,"$23,035 ","$21,556 ",103.0 kW (138 bhp),5,"$32,279 ",Honda,Civic 1.8A VTi-S,,2028-10-01,,,,1271.0,23035.0,21556.0,1799,103.0138,5.0,32279.0,
4441,Kia Cerato 1.6A EX,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,287 kg",2018.0,Auto,"$13,737 ","$13,737 ",93.8 kW (125 bhp),1,"$23,568 ",Kia,Cerato 1.6A EX,,,,,,738.0,13737.0,13737.0,1591,93.8125,1.0,23568.0,
4442,Mazda 3 1.5A Sunroof,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,321 kg",2015.0,Auto,"$17,812 ","$12,812 ",88.0 kW (118 bhp),2,"$51,301 ",Mazda,3 1.5A Sunroof,,,,,,682.0,17812.0,12812.0,1496,88.0118,2.0,51301.0,
4443,Toyota Allion 1.5A (COE till 09/2023),N.A,N.A,,N.A.,$887 /yr,N.A.,"1,496 cc","1,200 kg",2008.0,Auto,"$14,651 ","$14,651 ",81.0 kW (108 bhp),More than 6,"$16,170 ",Toyota,Allion 1.5A,,2023-09-01,,,,887.0,14651.0,14651.0,1496,81.0108,6.0,16170.0,
4444,Mazda 3 1.5A Sunroof,"$38,000 ",,,N.A.,$682 /yr,,"1,496 cc","1,339 kg",2014.0,Auto,"$18,800 ","$8,800 ",88.0 kW (118 bhp),1,"$61,899 ",Mazda,3 1.5A Sunroof,,,38000.0,,,682.0,18800.0,8800.0,1496,88.0118,1.0,61899.0,
4445,Nissan Sylphy 1.5A (COE till 08/2027),N.A,N.A,,N.A.,$958 /yr,N.A.,"1,498 cc","1,175 kg",2007.0,Auto,"$16,132 ","$17,746 ",80.0 kW (107 bhp),2,"$45,400 ",Nissan,Sylphy 1.5A,,2027-08-01,,,,958.0,16132.0,17746.0,1498,80.0107,2.0,45400.0,
4447,Toyota Vios 1.5M E (COE till 07/2023),N.A,N.A,,N.A.,$889 /yr,N.A.,"1,497 cc","1,075 kg",2008.0,Manual,"$11,741 ","$11,741 ",80.0 kW (107 bhp),More than 6,"$18,583 ",Toyota,Vios 1.5M E,,2023-07-01,,,,889.0,11741.0,11741.0,1497,80.0107,6.0,18583.0,
