,Car Name,Price,Depreciation,Reg Date,Mileage,Road Tax,Dereg Value,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,COE
3715,Toyota Corolla Altis 1.6A (COE till 09/2025),N.A,N.A,,N.A.,$816 /yr,N.A.,"1,598 cc","1,195 kg",2010,Auto,"$16,680 ","$16,680 ",80.0 kW (107 bhp),4,"$16,570 "
3716,Hyundai Avante 1.6A GLS S,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,345 kg",2019,Auto,"$14,588 ","$14,588 ",93.8 kW (125 bhp),1,"$25,689 "
3717,Volkswagen Jetta GP 1.4A TSI Highline,"$72,000 ",,,"35,000 km (9.1k /yr)",$620 /yr,,"1,390 cc","1,417 kg",2015,Auto,"$20,867 ","$21,214 ",90.0 kW (120 bhp),1,"$53,001 "
3718,Volkswagen Jetta 1.4A TSI (COE till 05/2024),N.A,N.A,,N.A.,$744 /yr,N.A.,"1,390 cc","1,329 kg",2009,Auto,"$20,187 ","$20,187 ",90.0 kW (120 bhp),1,"$13,943 "
3719,Honda Civic 1.8A (COE till 04/2029),N.A,N.A,,N.A.,"$1,174 /yr",N.A.,"1,799 cc","1,219 kg",2008,Auto,"$26,030 ","$26,030 ",103.0 kW (138 bhp),3,"$35,411 "
3720,Toyota Corolla Altis 1.6A Eco,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,598 cc","1,230 kg",2017,Auto,"$19,990 ","$14,990 ",96.0 kW (128 bhp),1,"$42,902 "
3721,Mitsubishi Attrage 1.2A Sports (OPC),N.A,N.A,,N.A.,$70 /yr,N.A.,"1,193 cc",940 kg,2018,Auto,"$13,250 ","$5,000 ",59.0 kW (79 bhp),1,"$6,568 "
3722,Honda City 1.5A SV,N.A,N.A,,N.A.,$684 /yr,N.A.,"1,497 cc","1,096 kg",2016,Auto,"$18,293 ","$13,293 ",88.0 kW (118 bhp),1,"$51,765 "
3723,Hyundai Elantra 1.6A Elite,"$50,000 ",,,"50,000 km (10.1k /yr)",$738 /yr,,"1,591 cc","1,292 kg",2015,Auto,"$15,245 ","$15,245 ",97.0 kW (130 bhp),1,"$46,651 "
3724,Mitsubishi Lancer EX 1.6A Sports,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,590 cc","1,284 kg",2016,Auto,"$13,425 ","$13,425 ",86.0 kW (115 bhp),1,"$46,009 "
3725,Toyota Vios 1.5A E (COE till 08/2025),N.A,N.A,,N.A.,$752 /yr,N.A.,"1,497 cc","1,095 kg",2010,Auto,"$12,306 ","$12,306 ",80.0 kW (107 bhp),4,"$16,095 "
3726,Honda Civic Hybrid 1.3A (COE till 12/2022),N.A,N.A,,N.A.,$826 /yr,N.A.,"1,339 cc","1,290 kg",2007,Auto,"$27,045 ","$18,932 ",70.0 kW (93 bhp),3,"$21,349 "
3727,Honda Civic 1.6A VTi,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,597 cc","1,249 kg",2016,Auto,"$19,491 ","$19,491 ",92.0 kW (123 bhp),1,"$51,506 "
3728,Toyota Vios 1.5A E (COE till 12/2025),"$33,888 ","$6,910 /yr",,"151,024 km (15k /yr)",$684 /yr,,"1,497 cc","1,095 kg",2010,Auto,"$12,306 ","$12,306 ",80.0 kW (107 bhp),4,"$18,652 "
3729,Kia Cerato 1.6A EX,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,287 kg",2018,Auto,"$14,713 ","$14,713 ",93.8 kW (125 bhp),1,"$26,667 "
3730,Toyota Vios 1.5A J (OPC),N.A,N.A,,N.A.,$184 /yr,N.A.,"1,497 cc","1,095 kg",2011,Auto,"$10,377 ","$10,377 ",80.0 kW (107 bhp),2,"$56,002 "
3731,Hyundai Avante 1.6A (COE till 09/2029),N.A,N.A,,N.A.,$886 /yr,N.A.,"1,591 cc","1,264 kg",2009,Auto,"$11,045 ","$11,045 ",89.7 kW (120 bhp),4,"$29,485 "
3732,Kia Cerato Forte 1.6A EX,N.A,N.A,28-Jan-11,N.A.,$738 /yr,N.A.,"1,591 cc","1,261 kg",2010,Auto,"$10,932 ","$10,932 ",91.2 kW (122 bhp),2,"$40,123 "
3733,Toyota Corolla Altis 1.6A Elegance,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,598 cc","1,195 kg",2012,Auto,"$14,944 ","$14,944 ",90.0 kW (120 bhp),1,"$87,109 "
3734,Kia Cerato K3 1.6A EX,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,295 kg",2014,Auto,"$13,657 ","$8,657 ",95.3 kW (127 bhp),1,"$67,089 "
3735,Mazda 3 1.5A Deluxe,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,321 kg",2015,Auto,"$16,741 ","$6,741 ",88.0 kW (118 bhp),1,"$61,000 "
3736,Kia Cerato Forte 1.6A SX (COE till 01/2024),N.A,N.A,,N.A.,$886 /yr,N.A.,"1,591 cc","1,251 kg",2009,Auto,"$13,989 ","$13,989 ",92.7 kW (124 bhp),5,"$13,024 "
3737,Mitsubishi Lancer EX 1.5A GLS (COE till 02/2028),"$50,800 ","$7,200 /yr",,N.A.,$889 /yr,,"1,499 cc","1,313 kg",2007,Auto,"$16,646 ","$18,311 ",80.0 kW (107 bhp),3,"$42,122 "
3738,Volkswagen Jetta 1.4A TSI,N.A,N.A,,N.A.,$620 /yr,N.A.,"1,390 cc","1,417 kg",2014,Auto,"$19,153 ","$9,153 ",90.0 kW (120 bhp),2,"$67,749 "
3739,Toyota Corolla Axio 1.5A X (COE till 11/2022),N.A,N.A,,N.A.,$955 /yr,N.A.,"1,496 cc","1,130 kg",2007,Auto,"$12,576 ","$13,834 ",81.0 kW (108 bhp),3,"$20,997 "
3740,Mazda 3 1.6A Luxury (COE till 09/2029),N.A,N.A,,N.A.,$890 /yr,N.A.,"1,598 cc","1,275 kg",2009,Auto,"$21,324 ","$21,324 ",77.0 kW (103 bhp),4,"$29,485 "
3741,Hyundai Avante 1.6A GLS Elite (OPC),N.A,N.A,,N.A.,$238 /yr,N.A.,"1,591 cc","1,345 kg",2019,Auto,"$18,025 ","$18,025 ",93.8 kW (125 bhp),1,"$18,010 "
3742,Toyota Allion 1.5A (COE till 12/2028),"$42,800 ","$5,460 /yr",,"132,000 km (10.8k /yr)",$887 /yr,,"1,496 cc","1,200 kg",2008,Auto,"$14,454 ","$12,951 ",81.0 kW (108 bhp),5,"$27,571 "
3743,Toyota Corolla Altis 1.8A (COE till 09/2028),"$43,800 ","$5,730 /yr",,N.A.,"$1,264 /yr",,"1,794 cc","1,210 kg",2008,Auto,"$19,246 ","$19,246 ",97.0 kW (130 bhp),3,"$33,377 "
3744,Volkswagen Jetta GP 1.4A TSI,N.A,N.A,,N.A.,$620 /yr,N.A.,"1,390 cc","1,417 kg",2016,Auto,"$16,699 ","$16,699 ",90.0 kW (120 bhp),2,"$53,000 "
3745,Skoda Octavia 1.4A TSI Ambition Plus,N.A,N.A,,N.A.,$624 /yr,N.A.,"1,395 cc","1,289 kg",2018,Auto,"$20,151 ","$20,212 ",110.0 kW (147 bhp),1,"$40,000 "
3746,Toyota Corolla Altis 1.6A Elegance,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,598 cc","1,205 kg",2015,Auto,"$19,589 ","$19,589 ",90.0 kW (120 bhp),1,"$47,300 "
3747,Skoda Octavia 2.0A TSI RS,"$129,800 ",,,"6,700 km","$1,194 /yr",,"1,984 cc","1,577 kg",2019,Auto,"$26,681 ","$29,354 ",180.0 kW (241 bhp),1,"$33,301 "
3748,Honda Civic 1.6A VTi (COE till 05/2024),"$30,800 ","$9,280 /yr",,N.A.,$888 /yr,,"1,595 cc","1,220 kg",2008,Auto,"$25,012 ","$25,012 ",92.0 kW (123 bhp),4,"$13,943 "
3749,Hyundai Avante 1.6A (COE till 03/2029),N.A,N.A,,N.A.,$886 /yr,N.A.,"1,591 cc","1,264 kg",2009,Auto,"$10,949 ","$10,949 ",89.7 kW (120 bhp),4,"$25,525 "
3750,Honda Civic 1.5A VTEC Turbo Sunroof,N.A,N.A,,N.A.,$684 /yr,N.A.,"1,498 cc","1,324 kg",2018,Auto,"$26,720 ","$29,408 ",127.0 kW (170 bhp),1,"$32,001 "
3751,Kia Cerato K3 1.6A EX,"$52,888 ",,,"92,000 km (19.8k /yr)",$738 /yr,,"1,591 cc","1,295 kg",2016,Auto,"$14,328 ","$14,328 ",95.3 kW (127 bhp),1,"$53,694 "
3752,Mitsubishi Attrage 1.2A,N.A,N.A,,N.A.,$506 /yr,N.A.,"1,193 cc",940 kg,2018,Auto,"$13,299 ","$5,000 ",59.0 kW (79 bhp),1,"$28,457 "
3753,Toyota Vios 1.5A E,N.A,N.A,,N.A.,$684 /yr,N.A.,"1,497 cc","1,095 kg",2012,Auto,"$11,077 ","$11,077 ",80.0 kW (107 bhp),1,"$77,291 "
3754,Toyota Corolla Altis 1.6A Elegance,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,598 cc","1,195 kg",2012,Auto,"$15,101 ","$15,101 ",90.0 kW (120 bhp),3,"$59,004 "
3755,Hyundai Avante 1.6A S (New 5-yr COE),N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,264 kg",2010,Auto,"$10,681 ","$10,681 ",89.7 kW (120 bhp),4,N.A.
3756,Toyota Corolla Altis 1.6A Elegance,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,598 cc","1,195 kg",2011,Auto,"$14,797 ","$14,797 ",90.0 kW (120 bhp),1,"$35,318 "
3757,Toyota Allion 1.5A (COE till 11/2028),N.A,N.A,,N.A.,$887 /yr,N.A.,"1,496 cc","1,200 kg",2008,Auto,"$17,724 ","$17,724 ",81.0 kW (108 bhp),3,"$29,670 "
3760,Mitsubishi Attrage 1.2A,"$55,800 ",,,N.A.,$506 /yr,,"1,193 cc",940 kg,2018,Auto,"$13,554 ","$5,000 ",59.0 kW (79 bhp),1,"$41,400 "
3761,Toyota Vios 1.5A E,N.A,N.A,,N.A.,$684 /yr,N.A.,"1,497 cc","1,095 kg",2012,Auto,"$11,238 ","$11,238 ",80.0 kW (107 bhp),3,"$59,003 "
3762,Hyundai Avante 1.6A S (New 5-yr COE),N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,264 kg",2010,Auto,"$10,492 ","$10,492 ",89.7 kW (120 bhp),1,N.A.
3763,Mazda 3 1.5A Deluxe,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,321 kg",2015,Auto,"$18,006 ","$13,006 ",88.0 kW (118 bhp),1,"$47,300 "
3764,Kia Cerato K3 1.6A,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,295 kg",2017,Auto,"$12,358 ","$12,358 ",95.3 kW (127 bhp),1,"$36,810 "
3765,Toyota Vios 1.5A E Sports (COE till 09/2025),"$30,800 ","$6,630 /yr",,"140,000 km (13.5k /yr)",$752 /yr,,"1,497 cc","1,095 kg",2010,Auto,"$12,306 ","$12,306 ",80.0 kW (107 bhp),2,"$16,570 "
3767,Kia Cerato K3 1.6A SX Sunroof,"$61,500 ",,,"90,000 km (23.5k /yr)",$738 /yr,,"1,591 cc","1,295 kg",2017,Auto,"$16,207 ","$16,207 ",95.3 kW (127 bhp),2,"$51,765 "
3768,Toyota Corolla Altis 1.6A (COE till 02/2024),N.A,N.A,,N.A.,$890 /yr,N.A.,"1,598 cc","1,195 kg",2008,Auto,"$16,084 ","$16,084 ",80.0 kW (107 bhp),3,"$12,864 "
3769,Hyundai Avante 1.6A GLS,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,345 kg",2019,Auto,"$12,594 ","$12,594 ",93.8 kW (125 bhp),1,"$26,667 "
3770,Mitsubishi Lancer EX 1.6A,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,590 cc","1,289 kg",2015,Auto,"$12,221 ","$12,221 ",86.0 kW (115 bhp),1,"$57,089 "
3771,Toyota Corolla Axio 1.5A (COE till 03/2027),N.A,N.A,,N.A.,$955 /yr,N.A.,"1,496 cc","1,130 kg",2007,Auto,"$11,730 ","$12,903 ",81.0 kW (108 bhp),2,"$49,429 "
3772,Honda City 1.5A V,N.A,N.A,,N.A.,$684 /yr,N.A.,"1,497 cc","1,078 kg",2018,Auto,"$16,490 ","$16,490 ",88.0 kW (118 bhp),1,"$28,199 "
3773,Toyota Corolla Altis 1.6A Elegance (OPC),N.A,N.A,,N.A.,$242 /yr,N.A.,"1,598 cc","1,215 kg",2016,Auto,"$19,990 ","$19,990 ",90.0 kW (120 bhp),1,"$32,430 "
3774,Mazda 3 1.5A Deluxe,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,321 kg",2016,Auto,"$18,819 ","$13,819 ",88.0 kW (118 bhp),1,"$53,694 "
3775,Volkswagen Jetta GP 1.4A TSI,"$58,800 ",,,"54,653 km (13.3k /yr)",$620 /yr,,"1,390 cc","1,417 kg",2016,Auto,"$16,699 ","$16,699 ",90.0 kW (120 bhp),2,"$48,000 "
3776,Honda Civic 1.5A VTEC Turbo Sunroof,N.A,N.A,,N.A.,$684 /yr,N.A.,"1,498 cc","1,324 kg",2016,Auto,"$27,853 ","$25,995 ",127.0 kW (170 bhp),2,"$48,209 "
3777,Volkswagen Jetta 1.4A TSI (New 5-yr COE),N.A,N.A,,N.A.,$620 /yr,N.A.,"1,390 cc","1,329 kg",2010,Auto,"$20,525 ","$20,525 ",90.0 kW (120 bhp),3,N.A.
3778,Kia Cerato 1.6A EX,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,287 kg",2018,Auto,"$13,882 ","$13,882 ",93.8 kW (125 bhp),1,"$28,457 "
3779,Toyota Corolla Axio 1.5A X (COE till 11/2022),N.A,N.A,,N.A.,$955 /yr,N.A.,"1,496 cc","1,130 kg",2007,Auto,"$11,894 ","$12,986 ",81.0 kW (108 bhp),3,"$20,997 "
3781,Hyundai Avante 1.6A S (COE till 08/2029),N.A,N.A,,N.A.,$886 /yr,N.A.,"1,591 cc","1,264 kg",2009,Auto,"$11,465 ","$11,306 ",89.7 kW (120 bhp),4,"$29,328 "
3782,Honda City 1.5A,N.A,N.A,,N.A.,$684 /yr,N.A.,"1,497 cc","1,150 kg",2009,Auto,"$15,855 ","$15,855 ",88.0 kW (118 bhp),1,"$48,801 "
3784,Kia Cerato Forte 1.6A EX (COE till 12/2024),"$23,800 ","$6,100 /yr",,N.A.,$812 /yr,,"1,591 cc","1,251 kg",2009,Auto,"$11,314 ","$11,314 ",92.7 kW (124 bhp),3,"$15,988 "
3785,Honda City 1.5A SV,N.A,N.A,,N.A.,$684 /yr,N.A.,"1,497 cc","1,096 kg",2016,Auto,"$17,502 ","$12,502 ",88.0 kW (118 bhp),1,"$47,020 "
3787,Toyota Vios 1.5A E (COE till 05/2025),"$27,800 ","$6,490 /yr",,"140,000 km (13.1k /yr)",$752 /yr,,"1,497 cc","1,095 kg",2010,Auto,"$12,331 ","$12,331 ",80.0 kW (107 bhp),3,"$16,438 "
3788,Kia Cerato Forte 1.6A EX (COE till 01/2024),N.A,N.A,,N.A.,$886 /yr,N.A.,"1,591 cc","1,251 kg",2009,Auto,"$13,156 ","$9,387 ",92.7 kW (124 bhp),3,"$13,024 "
3789,Mitsubishi Lancer 1.6A GLX (COE till 07/2021),N.A,N.A,,N.A.,"$1,101 /yr",N.A.,"1,584 cc","1,162 kg",2006,Auto,"$12,352 ","$13,588 ",79.0 kW (105 bhp),3,"$24,760 "
3790,Honda Civic 1.6A VTi (New 5-yr COE),N.A,N.A,,N.A.,$740 /yr,N.A.,"1,595 cc","1,220 kg",2009,Auto,"$22,950 ","$22,950 ",92.0 kW (123 bhp),3,N.A.
3791,Hyundai Avante 1.6A GLS (OPC),"$62,000 ",,,"4,800 km",$238 /yr,,"1,591 cc","1,345 kg",2019,Auto,"$13,224 ","$13,224 ",93.8 kW (125 bhp),1,"$15,999 "
3792,Nissan Sylphy 1.6A Premium,"$53,800 ",,,"79,000 km (16.5k /yr)",$742 /yr,,"1,598 cc","1,205 kg",2016,Auto,"$16,807 ","$16,807 ",85.0 kW (113 bhp),1,"$45,504 "
3793,Toyota Vios 1.5A E,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,085 kg",2018,Auto,"$13,707 ","$13,707 ",79.0 kW (105 bhp),2,"$36,426 "
3794,Nissan Latio 1.5A (COE till 11/2023),N.A,N.A,,N.A.,$889 /yr,N.A.,"1,498 cc","1,110 kg",2008,Auto,"$15,296 ","$11,381 ",80.0 kW (107 bhp),4,"$14,835 "
3795,Toyota Corolla Altis 1.6A,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,598 cc","1,215 kg",2016,Auto,"$19,990 ","$19,990 ",90.0 kW (120 bhp),1,"$51,765 "
3797,Mazda 3 1.5A Sunroof,"$49,000 ",,,"88,000 km (19.7k /yr)",$682 /yr,,"1,496 cc","1,321 kg",2016,Auto,"$16,724 ","$11,724 ",88.0 kW (118 bhp),4,"$52,503 "
3798,Hyundai Avante 1.6A GLS S,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,345 kg",2019,Auto,"$14,582 ","$14,582 ",93.8 kW (125 bhp),1,"$26,309 "
3799,Toyota Corolla Altis 1.6A (COE till 02/2024),N.A,N.A,,N.A.,$890 /yr,N.A.,"1,598 cc","1,195 kg",2009,Auto,"$16,990 ","$16,990 ",80.0 kW (107 bhp),3,"$12,864 "
3800,Mitsubishi Lancer EX 1.5A GLS (COE till 02/2023),N.A,N.A,,N.A.,$889 /yr,N.A.,"1,499 cc","1,313 kg",2007,Auto,"$16,155 ","$17,771 ",80.0 kW (107 bhp),4,"$21,061 "
3801,Toyota Corolla Axio 1.5A X (COE till 10/2023),N.A,N.A,,N.A.,$887 /yr,N.A.,"1,496 cc","1,130 kg",2008,Auto,"$12,552 ","$12,552 ",81.0 kW (108 bhp),1,"$15,142 "
3803,Nissan Sylphy 1.5A (New 5-yr COE),N.A,N.A,,N.A.,$752 /yr,N.A.,"1,498 cc","1,175 kg",2010,Auto,"$18,378 ","$18,378 ",80.0 kW (107 bhp),2,N.A.
3804,Toyota Corolla Ascent Hybrid 1.8A Sport,"$115,988 ",,,652 km,N.A.,,"1,798 cc",N.A.,2019,Auto,"$28,025 ","$21,235 ",,1,"$40,690 "
3805,Nissan Sylphy 1.6A,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,598 cc","1,205 kg",2015,Auto,"$16,439 ","$16,439 ",85.0 kW (113 bhp),1,"$56,989 "
3806,Mazda 3 1.5A Sunroof,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,310 kg",2017,Auto,"$14,299 ","$14,299 ",88.0 kW (118 bhp),2,"$42,801 "
3807,Mitsubishi Lancer EX 1.6A Sports,"$53,888 ",,,N.A.,$738 /yr,,"1,590 cc","1,284 kg",2017,Auto,"$12,481 ","$12,481 ",86.0 kW (115 bhp),1,"$42,801 "
3808,Kia Cerato 1.6A LX,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,287 kg",2018,Auto,"$11,823 ","$11,823 ",93.8 kW (125 bhp),1,"$33,199 "
3809,Hyundai Elantra 1.6A Elite,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,292 kg",2014,Auto,"$13,454 ","$13,454 ",97.0 kW (130 bhp),2,"$60,002 "
3810,Volkswagen Jetta 1.4A TSI (New 5-yr COE),N.A,N.A,,N.A.,$620 /yr,N.A.,"1,390 cc","1,377 kg",2010,Auto,"$21,580 ","$21,580 ",118.0 kW (158 bhp),3,N.A.
3811,Hyundai Avante 1.6A GLS,"$74,888 ",,,50 km,$738 /yr,,"1,591 cc","1,345 kg",2019,Auto,"$12,678 ","$12,678 ",93.8 kW (125 bhp),1,"$26,667 "
3812,Honda Civic 1.8A VTi-S (COE till 03/2023),N.A,N.A,,N.A.,"$1,271 /yr",N.A.,"1,799 cc","1,219 kg",2008,Auto,"$21,335 ","$23,469 ",103.0 kW (138 bhp),2,"$22,499 "
3813,Honda Civic 1.6A VTi (COE till 04/2022),N.A,N.A,,N.A.,"$1,036 /yr",N.A.,"1,595 cc","1,220 kg",2007,Auto,"$17,949 ","$19,744 ",92.0 kW (123 bhp),3,"$25,115 "
3814,Mazda 3 1.5A Deluxe,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,321 kg",2016,Auto,"$20,231 ","$15,324 ",88.0 kW (118 bhp),1,"$49,430 "
3815,Chevrolet Sonic 1.4A LTZ,N.A,N.A,,N.A.,$626 /yr,N.A.,"1,398 cc","1,220 kg",2014,Auto,"$12,990 ","$7,990 ",74.0 kW (99 bhp),1,"$67,089 "
3816,Mitsubishi Lancer EX 1.5A GLS (COE till 12/2023),"$19,000 ","$6,570 /yr",,"228,000 km (18.8k /yr)",$889 /yr,,"1,499 cc","1,313 kg",2008,Auto,"$18,835 ","$18,835 ",80.0 kW (107 bhp),4,"$13,786 "
3817,Mazda 3 1.6A Luxury (COE till 08/2024),N.A,N.A,,N.A.,$890 /yr,N.A.,"1,598 cc","1,275 kg",2009,Auto,"$21,455 ","$21,455 ",77.0 kW (103 bhp),2,"$14,664 "
3818,Renault Fluence Diesel 1.5A dCi,N.A,N.A,,N.A.,"$1,048 /yr",N.A.,"1,461 cc","1,314 kg",2015,Auto,"$17,290 ","$7,290 ",81.0 kW (108 bhp),1,"$46,651 "
3819,Mitsubishi Lancer EX 2.0M GT (COE till 09/2024),N.A,N.A,,N.A.,"$1,452 /yr",N.A.,"1,998 cc","1,397 kg",2009,Manual,"$22,113 ","$22,113 ",114.0 kW (152 bhp),3,"$18,971 "
3822,Honda Civic 1.6A VTi,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,597 cc","1,249 kg",2018,Auto,"$20,645 ","$20,903 ",92.0 kW (123 bhp),1,"$33,798 "
3824,Toyota Vios 1.5A G (New 5-yr COE),N.A,N.A,,N.A.,$684 /yr,N.A.,"1,497 cc","1,110 kg",2010,Auto,"$13,696 ","$13,696 ",80.0 kW (107 bhp),2,N.A.
3825,Honda Civic 1.8A VTi-S (COE till 05/2021),N.A,N.A,,N.A.,"$1,467 /yr",N.A.,"1,799 cc","1,219 kg",2006,Auto,"$21,537 ","$23,691 ",103.0 kW (138 bhp),4,"$23,024 "
3826,Toyota Vios 1.5A E (COE till 05/2021),N.A,N.A,,N.A.,"$1,026 /yr",N.A.,"1,497 cc","1,020 kg",2006,Auto,"$13,040 ","$14,344 ",80.0 kW (107 bhp),2,"$22,789 "
3828,Kia Cerato K3 1.6A SX Sunroof,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,295 kg",2017,Auto,"$15,761 ","$15,761 ",95.3 kW (127 bhp),1,"$42,900 "
3829,Toyota Corolla Altis 1.6A,"$54,888 ",,,N.A.,$742 /yr,,"1,598 cc","1,205 kg",2015,Auto,"$19,589 ","$19,589 ",90.0 kW (120 bhp),1,"$45,002 "
3831,Toyota Vios 1.5A E (COE till 02/2028),N.A,N.A,,N.A.,$889 /yr,N.A.,"1,497 cc","1,095 kg",2007,Auto,"$12,498 ","$13,748 ",80.0 kW (107 bhp),3,"$42,122 "
3832,Kia Cerato Forte 1.6A SX (COE till 09/2024),N.A,N.A,,N.A.,$886 /yr,N.A.,"1,591 cc","1,251 kg",2009,Auto,"$14,090 ","$14,090 ",92.7 kW (124 bhp),2,"$14,743 "
3833,Toyota Vios 1.5A E (COE till 05/2021),N.A,N.A,,N.A.,"$1,026 /yr",N.A.,"1,497 cc","1,020 kg",2006,Auto,"$12,707 ","$8,911 ",80.0 kW (107 bhp),1,"$22,789 "
3834,Hyundai Avante 1.6A S (COE till 12/2023),N.A,N.A,,N.A.,$959 /yr,N.A.,"1,591 cc","1,264 kg",2008,Auto,"$10,769 ","$10,769 ",89.7 kW (120 bhp),3,"$13,786 "
3835,Volkswagen Jetta Sport 1.4A TSI (COE till 05/2030),"$58,000 ","$6,260 /yr",,"60,000 km (5.6k /yr)",$682 /yr,,"1,390 cc","1,377 kg",2010,Auto,"$22,106 ","$22,106 ",118.0 kW (158 bhp),3,"$32,875 "
3836,Volkswagen Jetta 1.4A TSI,N.A,N.A,,N.A.,$620 /yr,N.A.,"1,390 cc","1,417 kg",2014,Auto,"$19,169 ","$9,169 ",90.0 kW (120 bhp),1,"$62,002 "
3837,Toyota Premio 1.5A F (COE till 08/2029),N.A,N.A,,N.A.,$818 /yr,N.A.,"1,496 cc","1,200 kg",2009,Auto,"$18,420 ","$18,420 ",81.0 kW (108 bhp),2,"$29,328 "
3838,Toyota Vios 1.5A E (COE till 03/2022),N.A,N.A,,N.A.,$958 /yr,N.A.,"1,497 cc","1,020 kg",2006,Auto,"$12,237 ","$13,461 ",80.0 kW (107 bhp),3,"$24,715 "
3839,Honda Civic 1.8A VTi-S G (COE till 11/2023),N.A,N.A,,N.A.,"$1,271 /yr",N.A.,"1,799 cc","1,240 kg",2007,Auto,"$19,125 ","$19,125 ",103.0 kW (138 bhp),5,"$16,061 "
3840,Subaru Impreza 1.6M (COE till 07/2022),N.A,N.A,,N.A.,"$1,039 /yr",N.A.,"1,597 cc","1,260 kg",2007,Manual,"$10,074 ","$11,082 ",70.0 kW (93 bhp),3,"$24,100 "
3841,Toyota Corolla Altis 1.6A,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,598 cc","1,215 kg",2016,Auto,"$19,990 ","$19,990 ",90.0 kW (120 bhp),1,"$48,401 "
3842,Mazda 3 1.5A Deluxe,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,321 kg",2016,Auto,"$18,819 ","$13,819 ",88.0 kW (118 bhp),1,"$53,000 "
3843,Hyundai Accent 1.4A,N.A,N.A,,N.A.,$608 /yr,N.A.,"1,368 cc","1,115 kg",2018,Auto,"$8,492 ","$8,492 ",73.6 kW (98 bhp),1,"$31,997 "
3844,Hyundai Elantra 1.6A GLS S (OPC),N.A,N.A,,N.A.,$238 /yr,N.A.,"1,591 cc","1,345 kg",2017,Auto,"$11,891 ","$11,891 ",93.8 kW (125 bhp),1,"$21,200 "
3845,Toyota Corolla Altis 1.6A (COE till 07/2024),N.A,N.A,,N.A.,$890 /yr,N.A.,"1,598 cc","1,195 kg",2009,Auto,"$17,500 ","$17,500 ",80.0 kW (107 bhp),2,"$15,256 "
3847,Honda Civic 1.8A VTi-S (COE till 10/2022),N.A,N.A,,N.A.,"$1,369 /yr",N.A.,"1,799 cc","1,219 kg",2007,Auto,"$20,580 ","$22,638 ",103.0 kW (138 bhp),2,"$25,226 "
3848,Volkswagen Jetta Sport 1.4A TSI (New 5-yr COE),N.A,N.A,,N.A.,$620 /yr,N.A.,"1,390 cc","1,377 kg",2010,Auto,"$22,083 ","$22,083 ",118.0 kW (158 bhp),2,N.A.
3849,Toyota Corolla Altis 1.6A Classic,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,598 cc","1,205 kg",2016,Auto,"$17,982 ","$17,982 ",90.0 kW (120 bhp),1,"$56,002 "
3851,Kia Cerato K3 1.6A SX,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,295 kg",2016,Auto,"$17,267 ","$17,267 ",95.3 kW (127 bhp),1,"$52,668 "
3852,Hyundai Elantra 1.6A GLS,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,345 kg",2016,Auto,"$12,975 ","$12,975 ",93.8 kW (125 bhp),1,"$47,889 "
3853,Honda Civic 1.6A VTi,"$66,000 ",,,"94,000 km (22.6k /yr)",$742 /yr,,"1,597 cc","1,249 kg",2016,Auto,"$20,173 ","$20,243 ",92.0 kW (123 bhp),2,"$53,334 "
